episode,env_steps,return,actor_loss,critic_loss,mean_advantage
1,32,32.0,0.003017924726009369,0.484852135181427,4.0978193283081055e-08
2,44,12.0,0.010717228055000305,0.41944435238838196,1.1672576505361576e-07
3,66,22.0,-0.0006907633505761623,0.41808339953422546,1.2056393927650788e-07
4,80,14.0,-0.013054482638835907,0.4660840630531311,1.5965529343020535e-08
5,119,39.0,-0.006581192370504141,0.4293443262577057,3.3623134498839136e-08
6,150,31.0,-0.006595747545361519,0.48434799909591675,-1.0382744619619189e-07
7,188,38.0,0.004211504943668842,0.4843542277812958,3.921358171510292e-08
8,215,27.0,-0.025114450603723526,0.4674126207828522,1.6998362184494908e-07
9,246,31.0,-0.005768954753875732,0.4113401174545288,-3.460914754782607e-08
10,259,13.0,-0.02411094307899475,0.45875030755996704,-1.5932779717786616e-07
11,286,27.0,-0.006975912023335695,0.40396153926849365,5.518948498206555e-08
12,312,26.0,-0.006071851123124361,0.40497639775276184,6.418962072984868e-08
13,331,19.0,-0.000432340893894434,0.38835376501083374,-1.6312850448230165e-07
14,340,9.0,0.021865179762244225,0.345346063375473,9.271833789625816e-08
15,367,27.0,-0.009486331604421139,0.3778321444988251,1.6556845139348297e-07
16,400,33.0,-0.000731184147298336,0.4168304204940796,1.806201410659014e-08
17,415,15.0,-0.001313803717494011,0.3459685146808624,6.643434602437992e-08
18,432,17.0,-0.014617204666137695,0.441819429397583,-1.7530777540741838e-07
19,444,12.0,0.0028361286967992783,0.3599433898925781,-8.195638656616211e-08
20,489,45.0,-0.011705739423632622,0.39660993218421936,3.5762788286319847e-08
21,517,28.0,-0.007342444732785225,0.37964752316474915,-2.9802322387695312e-08
22,538,21.0,-0.009192143566906452,0.4724090099334717,-1.1637096974936867e-07
23,551,13.0,0.00650034612044692,0.4513494372367859,-1.0660061633416262e-07
24,574,23.0,-0.02878313697874546,0.44858473539352417,1.6456064599879028e-07
25,613,39.0,-0.003762819105759263,0.48418891429901123,-3.056648489874192e-09
26,629,16.0,-0.006032963749021292,0.3094063699245453,8.940696716308594e-08
27,647,18.0,-0.0039001405239105225,0.46432480216026306,9.934107225717526e-08
28,662,15.0,0.001007679384201765,0.32714319229125977,1.2665987014770508e-07
29,675,13.0,-0.0010042819194495678,0.3591124415397644,-1.7079022995858395e-07
30,691,16.0,-0.004853694699704647,0.3164259195327759,-3.725290298461914e-08
31,729,38.0,-0.012882493436336517,0.34359636902809143,-1.6626559329324664e-07
32,744,15.0,-0.038536276668310165,0.3870413899421692,1.9936511819196312e-07
33,758,14.0,-0.004212117288261652,0.3718213140964508,5.854027484986091e-09
34,776,18.0,-0.006357690319418907,0.33922088146209717,-5.298190686175985e-08
35,790,14.0,-0.009738286025822163,0.3971738815307617,1.3677137644663162e-07
36,808,18.0,0.004493212327361107,0.41999006271362305,-5.960464477539063e-08
37,851,43.0,-0.005010009277611971,0.4812004566192627,9.564466552092199e-08
38,866,15.0,-0.0030106708873063326,0.46554452180862427,-9.561578195871334e-08
39,944,78.0,-0.005372380837798119,0.3728596568107605,-1.4213415511221683e-07
40,957,13.0,-0.0072218491695821285,0.28619086742401123,1.4786536439714837e-07
41,969,12.0,-0.0029438696801662445,0.3602646291255951,2.384185791015625e-07
42,1001,32.0,0.0033553726971149445,0.44158875942230225,1.1175870895385742e-07
43,1020,19.0,-0.005806851200759411,0.38917413353919983,1.0979803022337364e-07
44,1034,14.0,-0.008992409333586693,0.27955836057662964,1.846679680284069e-07
45,1072,38.0,-0.024228114634752274,0.3667469918727875,-4.8624841042510525e-08
46,1132,60.0,-0.0018545161001384258,0.40340009331703186,2.9802322387695312e-08
47,1142,10.0,-0.001467924565076828,0.2859470546245575,-5.960464477539063e-08
48,1153,11.0,-0.026998551562428474,0.3611912429332733,5.960464477539063e-08
49,1164,11.0,0.011138318106532097,0.33916452527046204,3.2511625391862253e-08
50,1175,11.0,-0.011997345834970474,0.3327764570713043,-1.6255812695931127e-08
51,1188,13.0,-0.0030438625253736973,0.39774173498153687,6.648210160165036e-08
52,1210,22.0,-0.011744318529963493,0.44918060302734375,-8.127906347965563e-09
53,1221,11.0,0.03753877431154251,0.3292979896068573,-2.6009300313489803e-07
54,1237,16.0,0.021224774420261383,0.44432100653648376,-1.2665987014770508e-07
55,1271,34.0,-0.009253091178834438,0.37191280722618103,-1.647893128620126e-07
