episode,env_steps,return,loss
1,13,13.0,0.10726165771484375
2,22,9.0,0.9661644697189331
3,41,19.0,2.3803415298461914
4,56,15.0,0.13290739059448242
5,66,10.0,0.9526973962783813
6,76,10.0,-0.8958607912063599
7,96,20.0,0.12233245372772217
8,135,39.0,-0.10362708568572998
9,144,9.0,0.567799985408783
10,155,11.0,1.4086871147155762
11,171,16.0,0.32318544387817383
12,189,18.0,1.3309764862060547
13,212,23.0,1.7352077960968018
14,274,62.0,0.5987030267715454
15,286,12.0,-0.4586818218231201
16,296,10.0,-0.1866849660873413
17,317,21.0,-0.3412362337112427
18,339,22.0,0.2579538822174072
19,354,15.0,0.48105406761169434
20,417,63.0,6.253249168395996
21,436,19.0,-0.5630205869674683
22,457,21.0,-0.8959843516349792
23,526,69.0,5.736264228820801
24,537,11.0,-0.057617902755737305
25,551,14.0,-0.13648605346679688
26,565,14.0,-0.03598445653915405
27,589,24.0,1.8617855310440063
28,612,23.0,-0.8408148288726807
29,621,9.0,-0.3846930265426636
30,636,15.0,0.546093225479126
31,660,24.0,-0.15711617469787598
32,671,11.0,1.0615510940551758
33,687,16.0,0.9906991124153137
34,718,31.0,0.4780690670013428
35,744,26.0,-0.028846561908721924
36,758,14.0,0.4984687566757202
37,778,20.0,1.0970604419708252
38,806,28.0,0.055161118507385254
39,845,39.0,1.817595362663269
40,874,29.0,0.868536651134491
41,893,19.0,1.0579731464385986
42,906,13.0,0.13526487350463867
43,952,46.0,-0.011983394622802734
44,973,21.0,-0.23666846752166748
45,988,15.0,-0.21004503965377808
46,1024,36.0,-0.772367000579834
47,1070,46.0,1.6495609283447266
48,1148,78.0,3.2393603324890137
49,1165,17.0,0.1156352162361145
50,1192,27.0,-0.16613268852233887
51,1212,20.0,-0.5835458040237427
52,1222,10.0,-0.15945112705230713
53,1233,11.0,0.6641955971717834
54,1279,46.0,-0.585199236869812
55,1293,14.0,0.4531126022338867
56,1346,53.0,0.1950203776359558
57,1356,10.0,0.13515228033065796
58,1400,44.0,0.8298803567886353
59,1431,31.0,-0.7527250647544861
60,1450,19.0,0.30188047885894775
61,1473,23.0,-0.18047213554382324
62,1488,15.0,-0.38611412048339844
63,1504,16.0,0.14483290910720825
